baryon_number_density,baryon_density,minimum_pressurec2,maximum_pressurec2,pressurec2,minimum_energy_densityc2,maximum_energy_densityc2,energy_densityc2,cs2c2,phi,minimum_cs2c2,minimum_phi,maximum_cs2c2,maximum_phi
1.911111111111111144e+38,3.214147468888889375e+14,5.699385269171200195e+12,8.683548720704263672e+12,7.191466994937732422e+12,3.254600534139303125e+14,3.266031620302500625e+14,3.260316077220901875e+14,5.935499295098001227e-02,2.763029572918334953e+00,4.246274705765018531e-02,3.115737475040458282e+00,7.599694674104784387e-02,2.498022211009611304e+00
1.943333333333333295e+38,3.268339490166666875e+14,5.936772108718336914e+12,9.117541841759925781e+12,7.527156975239131836e+12,3.310071572932975625e+14,3.322359758594818125e+14,3.316215665763896250e+14,6.072098097637301795e-02,2.738823291235324753e+00,4.309255723359139978e-02,3.100356374550897076e+00,7.807322833193963696e-02,2.468818586011172656e+00
1.975555555555555447e+38,3.322531511444445625e+14,6.177580897482055664e+12,9.563709041430833984e+12,7.870644969456446289e+12,3.365569585854682500e+14,3.378764825296260000e+14,3.372167205575471250e+14,6.202563312969999743e-02,2.716174884023307534e+00,4.364942516281700158e-02,3.086934442948256141e+00,8.009776885626962439e-02,2.441019394692192535e+00
2.007777777777777598e+38,3.376723532722222500e+14,6.421381943001097656e+12,1.002177201743798047e+13,8.221576980219539062e+12,3.421094442572941875e+14,3.435248604193635625e+14,3.428171523383288750e+14,6.325820285166583457e-02,2.695182872368548921e+00,4.412333550146996242e-02,3.075640100502141649e+00,8.205900353330020103e-02,2.414694570760794967e+00
2.040000000000000128e+38,3.430915554000000625e+14,6.667687672531467773e+12,1.049138450581735742e+13,8.579536089174413086e+12,3.476645873970498750e+14,3.491812747074104375e+14,3.484229310522301250e+14,6.440761915921144887e-02,2.675947955031443559e+00,4.450397672111894298e-02,3.066652052045852006e+00,8.394501747993010632e-02,2.389914356738868761e+00
2.072222222222222279e+38,3.485107575277778125e+14,6.915951136089147461e+12,1.097212996283308398e+13,8.944040549461115234e+12,3.532223461315688125e+14,3.548458758432724375e+14,3.540341109874206250e+14,6.546260388725322343e-02,2.658572596759199325e+00,4.478085550245791691e-02,3.060160069280465578e+00,8.574366640045605337e-02,2.366748762551603047e+00
2.104444444444444053e+38,3.539299596555555625e+14,7.165565163105536133e+12,1.146351990878101953e+13,9.314542535943277344e+12,3.587826626610277500e+14,3.605187981201708750e+14,3.596507303905993125e+14,6.641178826034233040e-02,2.643160879454925727e+00,4.494341023206904762e-02,3.056366447034827960e+00,8.744269681640626235e-02,2.345267196194005255e+00
2.136666666666666583e+38,3.593491617833333750e+14,7.415862169827694336e+12,1.196499293726373828e+13,9.690427553545714844e+12,3.643454624246713125e+14,3.662001583698676250e+14,3.652728103972694375e+14,6.724382657563621191e-02,2.629818614462748450e+00,4.498112145544974627e-02,3.055488229861210936e+00,8.902986356394104739e-02,2.325538256531037185e+00
2.168888888888888734e+38,3.647683639111111250e+14,7.666114601418984375e+12,1.247591438306601953e+13,1.007101449224250195e+13,3.699106534158171875e+14,3.718900547894768125e+14,3.709003541026470000e+14,6.794750496426416042e-02,2.618653717023066818e+00,4.488361718342137596e-02,3.057760345133968549e+00,9.049304256653312173e-02,2.307629677630580023e+00
2.201111111111110886e+38,3.701875660388889375e+14,7.915535981604845703e+12,1.299557663083986914e+13,1.045555630622235742e+13,3.754781256475588125e+14,3.775885659189974375e+14,3.765333457832781250e+14,6.851184365186413494e-02,2.609776845008797252e+00,4.464077160244617204e-02,3.063439822217430386e+00,9.182033717375381876e-02,2.291608414646002512e+00
2.233333333333333037e+38,3.756067681666667500e+14,8.163282536655615234e+12,1.352320003836585156e+13,1.084324128751073242e+13,3.810477507836579375e+14,3.832957497746922500e+14,3.821717502791750625e+14,6.892619150472201195e-02,2.603302309127139225e+00,4.424279594126778736e-02,3.072811355532705235e+00,9.300017689098027951e-02,2.277540859881475033e+00
