baryon_number_density,baryon_density,minimum_pressurec2,maximum_pressurec2,pressurec2,minimum_energy_densityc2,maximum_energy_densityc2,energy_densityc2
1.524444444444444380e+38,2.563843213555555938e+14,2.519739536094455078e+12,5.065044992204866211e+12,3.792392264149660645e+12,2.589212415866741875e+14,2.598170945471879375e+14,2.593691680669310625e+14
1.556666666666666720e+38,2.618035234833333438e+14,2.654167230532652344e+12,5.399544676426566406e+12,4.026855953479609863e+12,2.644254822069494062e+14,2.653970923699500938e+14,2.649112872884497500e+14
1.588888888888888683e+38,2.672227256111111562e+14,2.793544925345151367e+12,5.749859310269218750e+12,4.271702117807185059e+12,2.699317334313269375e+14,2.709841217970087500e+14,2.704579276141678750e+14
1.621111111111111213e+38,2.726419277388889688e+14,2.937918852017617676e+12,6.116322263362241211e+12,4.527120557689929688e+12,2.754400665085554688e+14,2.765784976659037500e+14,2.760092820872296250e+14
1.653333333333333175e+38,2.780611298666666875e+14,3.087329065222895996e+12,6.499253567862875977e+12,4.793291316542885742e+12,2.809505521377250938e+14,2.821805390750063750e+14,2.815655456063656875e+14
1.685555555555555516e+38,2.834803319944445000e+14,3.241809313838175781e+12,6.898959026718259766e+12,5.070384170278218750e+12,2.864632602261462500e+14,2.877905687367250000e+14,2.871269144814356250e+14
1.717777777777777856e+38,2.888995341222223125e+14,3.401386909877508301e+12,7.315729291290792969e+12,5.358558100584150391e+12,2.919782596513005625e+14,2.934089123124819375e+14,2.926935859818912500e+14
1.749999999999999630e+38,2.943187362500000000e+14,3.566082598011926270e+12,7.749838910992613281e+12,5.657960754502269531e+12,2.974956180262018750e+14,2.990358977321063125e+14,2.982657578791540625e+14
1.782222222222222159e+38,2.997379383777778125e+14,3.735910428004211914e+12,8.201545358911166992e+12,5.968727893457689453e+12,3.030154014704395000e+14,3.046718544967065000e+14,3.038436279835730000e+14
1.814444444444444311e+38,3.051571405055555625e+14,3.910877631586860840e+12,8.671088040073516602e+12,6.290982835830188477e+12,3.085376743855415625e+14,3.103171129683746250e+14,3.094273936769580625e+14
1.846666666666666463e+38,3.105763426333333750e+14,4.090984507073185059e+12,9.158687289512333984e+12,6.624835898292759766e+12,3.140624992359145000e+14,3.159720036493065000e+14,3.150172514426105000e+14
1.878888888888888614e+38,3.159955447611111250e+14,4.276224314676062012e+12,9.664543366516570312e+12,6.970383840596316406e+12,3.195899363365422500e+14,3.216368564494084375e+14,3.206133963929753750e+14
1.911111111111111144e+38,3.214147468888889375e+14,4.466583184427055664e+12,1.018883545599474023e+13,7.327709320210897461e+12,3.251200436476720625e+14,3.273119999471916875e+14,3.262160217974318750e+14
1.943333333333333295e+38,3.268339490166666875e+14,4.662040040788708008e+12,1.073172068412269922e+13,7.696880362455702148e+12,3.306528765778866250e+14,3.329977606441108750e+14,3.318253186109987500e+14
1.975555555555555447e+38,3.322531511444445625e+14,4.862566545675689453e+12,1.129333315967118164e+13,8.077949852673434570e+12,3.361884877935956250e+14,3.386944622179897500e+14,3.374414750057926875e+14
2.007777777777777598e+38,3.376723532722222500e+14,5.068127063789448242e+12,1.187378304968611328e+13,8.470955056737780273e+12,3.417269270414953125e+14,3.444024247727874375e+14,3.430646759071413750e+14
2.040000000000000128e+38,3.430915554000000625e+14,5.278678651220408203e+12,1.247315570178996680e+13,8.875917176505189453e+12,3.472682409774391250e+14,3.501219640948920625e+14,3.486951025361655625e+14
2.072222222222222279e+38,3.485107575277778125e+14,5.494171071724949219e+12,1.309151082041958398e+13,9.292840946072267578e+12,3.528124730087253125e+14,3.558533909116998750e+14,3.543329319602125625e+14
2.104444444444444053e+38,3.539299596555555625e+14,5.714546840683367188e+12,1.372888170942884766e+13,9.721714275056107422e+12,3.583596631484049375e+14,3.615970101588815000e+14,3.599783366536432500e+14
2.136666666666666583e+38,3.593491617833333750e+14,5.939741300473143555e+12,1.438527458917628711e+13,1.016250794482471484e+13,3.639098478785266250e+14,3.673531202631555625e+14,3.656314840708410625e+14
2.168888888888888734e+38,3.647683639111111250e+14,6.169682727430774414e+12,1.506066799695884180e+13,1.061517536219480664e+13,3.694630600328522500e+14,3.731220124330840000e+14,3.712925362329681250e+14
2.201111111111110886e+38,3.701875660388889375e+14,6.404292471565717773e+12,1.575501228070382422e+13,1.107965237613477148e+13,3.750193286868655000e+14,3.789039699751425625e+14,3.769616493310040625e+14
2.233333333333333037e+38,3.756067681666667500e+14,6.643485130932708008e+12,1.646822919103834961e+13,1.155585716098552930e+13,3.805786790674242500e+14,3.846992676263413750e+14,3.826389733468828125e+14
2.265555555555555567e+38,3.810259702944445625e+14,6.887168759650111328e+12,1.720021158029174414e+13,1.204369016997092773e+13,3.861411324763725625e+14,3.905081709123045000e+14,3.883246516943385625e+14
2.297777777777777718e+38,3.864451724222222500e+14,7.135245110413233398e+12,1.795082321251081641e+13,1.254303416146202539e+13,3.917067062265919375e+14,3.963309355361256250e+14,3.940188208813587500e+14
2.329999999999999870e+38,3.918643745500001250e+14,7.387609910102857422e+12,1.871989869068905859e+13,1.305375430039595898e+13,3.972754135998187500e+14,4.021678067933687500e+14,3.997216101965938125e+14
2.362222222222222022e+38,3.972835766777778750e+14,7.644153169135028320e+12,1.950724350199185938e+13,1.357569833556344531e+13,4.028472638157677500e+14,4.080190190245186875e+14,4.054331414201432500e+14
2.394444444444444551e+38,4.027027788055556250e+14,7.904759521551996094e+12,2.031263418566328516e+13,1.410869685360764258e+13,4.084222620215744375e+14,4.138847951017623750e+14,4.111535285616683750e+14
2.426666666666666703e+38,4.081219809333333750e+14,8.169308595313958008e+12,2.113581862255466797e+13,1.465256360893431250e+13,4.140004092946837500e+14,4.197653459562836875e+14,4.168828776254837500e+14
2.458888888888888477e+38,4.135411830611111250e+14,8.437675410557125000e+12,2.197651644686352344e+13,1.520709592871032422e+13,4.195817026664543750e+14,4.256608701447806250e+14,4.226212864056175000e+14
2.491111111111111006e+38,4.189603851888889375e+14,8.709730803178177734e+12,2.283441957808409375e+13,1.577207519063113867e+13,4.251661351586045625e+14,4.315715534615488750e+14,4.283688443100767500e+14
2.523333333333333535e+38,4.243795873166668125e+14,8.985341871561923828e+12,2.370919287038256641e+13,1.634726737097224609e+13,4.307536958368117500e+14,4.374975685957928125e+14,4.341256322163022500e+14
